mode,spine,seeds,recipient,recipient_label,recipient_kind,depth,path,last_relation
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_black_movement_law_project,Black Movement Law Project,project,2,arc_of_justice -> afgj -> p_black_movement_law_project,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_black_trans_media,Black Trans Media,project,2,arc_of_justice -> afgj -> p_black_trans_media,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_black_trans_travel_fund,Black Trans Travel Fund,project,2,arc_of_justice -> afgj -> p_black_trans_travel_fund,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_bukit_bail_fund_of_pittsburgh,Bukit Bail Fund of Pittsburgh,project,2,arc_of_justice -> afgj -> p_bukit_bail_fund_of_pittsburgh,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_bv_solidarity_project,BV Solidarity Project,project,2,arc_of_justice -> afgj -> p_bv_solidarity_project,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_camino_com_n,Camino Común,project,2,arc_of_justice -> afgj -> p_camino_com_n,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_central_ohio_freedom_fund,Central Ohio Freedom Fund,project,2,arc_of_justice -> afgj -> p_central_ohio_freedom_fund,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_centro_de_derechos_humanos_del_pac_fic,Centro de Derechos Humanos del Pacífico (Centro Pazífico),project,2,arc_of_justice -> afgj -> p_centro_de_derechos_humanos_del_pac_fic,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_centro_solidario_de_puerto_rico,Centro Solidario de Puerto Rico,project,2,arc_of_justice -> afgj -> p_centro_solidario_de_puerto_rico,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_change_links_newspaper,Change-Links Newspaper,project,2,arc_of_justice -> afgj -> p_change_links_newspaper,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_chicago_housing_initiative,Chicago Housing Initiative,project,2,arc_of_justice -> afgj -> p_chicago_housing_initiative,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_chicago_housing_justice_league,Chicago Housing Justice League,project,2,arc_of_justice -> afgj -> p_chicago_housing_justice_league,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_chico_mendes_reforestation_project,Chico Mendes Reforestation Project,project,2,arc_of_justice -> afgj -> p_chico_mendes_reforestation_project,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_cindy_sheehan_s_soapbox,Cindy Sheehan’s Soapbox,project,2,arc_of_justice -> afgj -> p_cindy_sheehan_s_soapbox,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_clean_up_the_mines,Clean up the Mines,project,2,arc_of_justice -> afgj -> p_clean_up_the_mines,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_coalition_of_women_for_peace,Coalition of Women for Peace,project,2,arc_of_justice -> afgj -> p_coalition_of_women_for_peace,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_colorado_freedom_fund,Colorado Freedom Fund,project,2,arc_of_justice -> afgj -> p_colorado_freedom_fund,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_community_action_relief_project,Community Action Relief Project,project,2,arc_of_justice -> afgj -> p_community_action_relief_project,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_corporate_genome_project,Corporate Genome Project,project,2,arc_of_justice -> afgj -> p_corporate_genome_project,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_creating_a_more_beloved_community_film,Creating a More Beloved Community Film & Discussion Series,project,2,arc_of_justice -> afgj -> p_creating_a_more_beloved_community_film,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_denver_justice_project,Denver Justice Project,project,2,arc_of_justice -> afgj -> p_denver_justice_project,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_erie_bail_fund,Erie Bail Fund,project,2,arc_of_justice -> afgj -> p_erie_bail_fund,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_eritye_papa_desalin,Eritye Papa Desalin,project,2,arc_of_justice -> afgj -> p_eritye_papa_desalin,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_free_mumia_abu_jamal_coalition,Free Mumia Abu-Jamal Coalition,project,2,arc_of_justice -> afgj -> p_free_mumia_abu_jamal_coalition,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_friends_of_asociaci_n_de_trabajadores_,Friends of Asociación de Trabajadores Campesinos,project,2,arc_of_justice -> afgj -> p_friends_of_asociaci_n_de_trabajadores_,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_friends_of_gente_de_i_itoi_a_c,"Friends of Gente de I’itoi, A.C.",project,2,arc_of_justice -> afgj -> p_friends_of_gente_de_i_itoi_a_c,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_friends_of_mujeres_de_la_tierra,Friends of Mujeres de la Tierra,project,2,arc_of_justice -> afgj -> p_friends_of_mujeres_de_la_tierra,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_gno_interfaith_sanctuary_coalition,GNO Interfaith Sanctuary Coalition,project,2,arc_of_justice -> afgj -> p_gno_interfaith_sanctuary_coalition,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_good_shepherd_collective,Good Shepherd Collective,project,2,arc_of_justice -> afgj -> p_good_shepherd_collective,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_hampshire_college_legal_support_fund,Hampshire College Legal Support Fund,project,2,arc_of_justice -> afgj -> p_hampshire_college_legal_support_fund,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_hands_up_united,Hands Up United,project,2,arc_of_justice -> afgj -> p_hands_up_united,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_honduras_solidarity_network,Honduras Solidarity Network,project,2,arc_of_justice -> afgj -> p_honduras_solidarity_network,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_human_rights_school,Human Rights School,project,2,arc_of_justice -> afgj -> p_human_rights_school,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_initiative_for_equality,Initiative for Equality,project,2,arc_of_justice -> afgj -> p_initiative_for_equality,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_instituto_agroecol_gico_latinoamerican,Instituto Agroecológico Latinoamericano–Mesoamericana (IALA Mesoamerica),project,2,arc_of_justice -> afgj -> p_instituto_agroecol_gico_latinoamerican,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_international_indigenous_initiative_fo,InterNational Indigenous Initiative for Transformative Collaboration,project,2,arc_of_justice -> afgj -> p_international_indigenous_initiative_fo,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_international_journal_of_foreign_langu,International Journal of Foreign Language Teaching,project,2,arc_of_justice -> afgj -> p_international_journal_of_foreign_langu,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_international_people_s_tribunal,International People’s Tribunal,project,2,arc_of_justice -> afgj -> p_international_people_s_tribunal,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_interoccupy,InterOccupy,project,2,arc_of_justice -> afgj -> p_interoccupy,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_irish_diaspora_decolonization_alliance,Irish Diaspora Decolonization Alliance,project,2,arc_of_justice -> afgj -> p_irish_diaspora_decolonization_alliance,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_just_info,Just Info,project,2,arc_of_justice -> afgj -> p_just_info,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_justice_for_all_coalition,Justice for All Coalition,project,2,arc_of_justice -> afgj -> p_justice_for_all_coalition,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_juthour_arboretum,Juthour Arboretum,project,2,arc_of_justice -> afgj -> p_juthour_arboretum,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_kevin_zeese_emerging_activists_fund,Kevin Zeese Emerging Activists Fund,project,2,arc_of_justice -> afgj -> p_kevin_zeese_emerging_activists_fund,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_kindred_connections,Kindred Connections,project,2,arc_of_justice -> afgj -> p_kindred_connections,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_la_colectiva,La ColectiVA,project,2,arc_of_justice -> afgj -> p_la_colectiva,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_labor_against_racism_and_war,Labor Against Racism and War,project,2,arc_of_justice -> afgj -> p_labor_against_racism_and_war,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_lancaster_bail_fund,Lancaster Bail Fund,project,2,arc_of_justice -> afgj -> p_lancaster_bail_fund,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_legal_defense_for_palestine,Legal Defense for Palestine,project,2,arc_of_justice -> afgj -> p_legal_defense_for_palestine,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_lgbt_freedom_and_asylum_network,LGBT Freedom and Asylum Network,project,2,arc_of_justice -> afgj -> p_lgbt_freedom_and_asylum_network,fiscal_sponsor
incl_sponsorship,Benjamin estate,alvin_benjamin|rose_benjamin|arc_of_justice,p_lgbt_voice_tanzania,LGBT Voice Tanzania,project,2,arc_of_justice -> afgj -> p_lgbt_voice_tanzania,fiscal_sponsor
