id,label,kind,edges,confirmed,inferred,confirmed_share
mccarthy,Bobbette McCarthy,person,1,0,1,0%
mfernandez,Mariana Fernandez,person,1,1,0,100%
hub_autonomous_tenants_union,Autonomous Tenants Union,org,1,0,1,0%
per_bella_de_soto,Bella De Soto,person,1,1,0,100%
per_cory_jong,Cory Jong,person,1,1,0,100%
per_david_foecke,David Foecke,person,1,1,0,100%
per_dr_patrisia_gonzales,Dr. Patrisia Gonzales,person,1,1,0,100%
per_evana,Evana,person,1,1,0,100%
per_gabrielle_lenart,Gabrielle Lenart,person,1,1,0,100%
per_johnnie_jae,Johnnie Jae,person,1,1,0,100%
per_kristen_godfrey,Kristen Godfrey,person,1,1,0,100%
per_kristen_hackett,Kristen Hackett,person,1,1,0,100%
per_lourdes_escalante,Lourdes Escalante,person,1,1,0,100%
per_marlen_s_nchez,Marlen Sánchez,person,1,1,0,100%
per_mavis_jay_sanders,Mavis-Jay Sanders,person,1,1,0,100%
per_mcahl_sheffield,Mcahl Sheffield,person,1,1,0,100%
per_melina_abdullah,Melina Abdullah,person,1,1,0,100%
per_mohyeddin_abdulaziz,Mohyeddin Abdulaziz,person,1,1,0,100%
per_moira_meltzer_cohen,Moira Meltzer-Cohen,person,1,1,0,100%
per_rachel_wilson,Rachel Wilson,person,1,1,0,100%
per_samantha_butler,Samantha Butler,person,1,1,0,100%
per_steve_lalla,Steve Lalla,person,1,1,0,100%
per_sunny_levine,Sunny Levine,person,1,1,0,100%
per_t_dubb_o,T-Dubb-O,person,1,1,0,100%
pfetcher,Jason Pfetcher,person,1,1,0,100%
ron,Carlos Ron,person,1,0,1,0%
rub_al_tajammu,Al-Tajammu,org,1,0,1,0%
rub_amazon_labor_union,Amazon Labor Union,org,1,0,1,0%
rub_belly_of_the_beast_llc,Belly of the Beast LLC,org,1,0,1,0%
rub_black_lives_matter_at_scho,Black Lives Matter at School,org,1,0,1,0%
rub_black_lives_matter_grassro,Black Lives Matter Grassroots,org,1,0,1,0%
rub_british_cuba_solidarity_ca,British Cuba Solidarity Campaign,org,1,0,1,0%
rub_changingfrequencies,changingFrequencies,org,1,0,1,0%
rub_cuban_interests_section,Cuban Interests Section,org,1,0,1,0%
rub_cuban_mission_to_the_un,Cuban Mission to the UN,org,1,0,1,0%
rub_eln,ELN,org,1,0,1,0%
rub_equality_for_flatbush,Equality for Flatbush,org,1,0,1,0%
rub_f_4_commandos,F-4 Commandos,org,1,0,1,0%
rub_george_floyd_riots_antifa,George Floyd riots / Antifa / campus activism,concept,1,0,1,0%
rub_germany_cuba_friendship_as,Germany-Cuba Friendship Association,org,1,0,1,0%
rub_haitian_women_for_haitian,Haitian Women for Haitian Refugees,org,1,0,1,0%
rub_houthis,Houthis,org,1,0,1,0%
rub_claudia_jones_school,Claudia Jones School,org,1,0,1,0%
rub_montoneros,Montoneros,org,1,0,1,0%
rub_nation_of_islam,Nation of Islam,org,1,0,1,0%
rub_national_conference_of_bla,National Conference of Black Lawyers,org,1,0,1,0%
rub_olas,OLAS,org,1,0,1,0%
rub_p_asad_rehman,Asad Rehman,person,1,0,1,0%
rub_p_charles_charlie_hill,Charles 'Charlie' Hill,person,1,0,1,0%
rub_viva_palestina_us,Viva Palestina US,org,1,0,1,0%
rub_p_rev_lucius_walker,Rev. Lucius Walker,person,1,1,0,100%
rub_p_suzanne_adely,Suzanne Adely,person,1,1,0,100%
rub_radio_habana,Radio Habana,org,1,0,1,0%
rub_tupamaros,Tupamaros,org,1,0,1,0%
rub_witness_for_peace_solidari,Witness for Peace Solidarity Collective,org,1,1,0,100%
rub_zimbabwe_african_people_s,Zimbabwe African People's Union,org,1,0,1,0%
cpc,Congressional Progressive Caucus,org,1,0,1,0%
singham_shanti,Shanti Singham,person,1,0,1,0%
iranian_red_crescent,Iranian Red Crescent Society,org,1,1,0,100%
trochowski,Daniela Trochowski,person,1,1,0,100%
wathington,Chad Wathington,person,1,0,1,0%
wfdy,World Federation of Democratic Youth,org,1,1,0,100%
moseley,Saidi Moseley,person,1,0,1,0%
conway,Marshall Eddie Conway,person,1,0,1,0%
inv_juan_ruiz_rivera_brigade,"""Juan Ruiz Rivera"" Puerto Rican Solidarity Brigade",org,1,1,0,100%
inv_sacp,South African Communist Party (SACP),org,1,1,0,100%
inv_cosatu,COSATU (Congress of South African Trade Unions),org,1,1,0,100%
