url,domain,edges,distinct_nodes,complete_clique,relations,nodes
https://www.answercoalition.org/national_action_us_troops_out_of_iraq,answercoalition.org,3,3,1,co_initiator 3,ANSWER Coalition; CODEPINK; Popular Resistance
https://www.codepink.org/day_3,codepink.org,3,5,0,met 1; role 1; collaborator 1,Ann Wright; Medea Benjamin; CODEPINK; Islamic Republic of I…; Mohammad Javad Zarif
https://www.foxnews.com/politics/inside-cubas-foreign-influence-campaign-from-venceremos-brigade-1960s-saturday-union-hall,foxnews.com,3,4,0,funds 3,ANSWER Coalition; BreakThrough News; Party for Socialism &…; Neville Roy Singham
https://www.foxnews.com/politics/second-front-how-socialist-cell-us-mobilized-pro-maduro-foot-soldiers-within-12-hours.amp,foxnews.com,3,5,0,member 1; associate 1; attended 1,Claudia De la Cruz; Manolo de los Santos; Jodie Evans; International Peoples…; Tricontinental: Insti…
https://www.globalsecurity.org/military/world/usa/government/political-parties-psl.htm,globalsecurity.org,3,5,0,founder 1; foreign_tie 1; role 1,ANSWER Coalition; BreakThrough News; Vijay Prashad; Party for Socialism &…; Tricontinental: Insti…
https://www.influencewatch.org/non-profit/benjamin-fund/,influencewatch.org,3,5,0,spouse 1; relative 1; associate 1,Alvin Benjamin (1920-…; Medea Benjamin; Maya (Mandela) Danaher; Rose Benjamin; Bill Ayers
https://www.influencewatch.org/person/brian-becker/,influencewatch.org,3,3,1,defended 2; sponsor 1,Brian Becker; Cuba; Venezuela
https://www.tucsonspotlight.org/collective-builds-community/,tucsonspotlight.org,3,3,1,associate 3,Mirely Baca; T Loving; Vikó Velazquez Morales
https://www.venezuelasolidaritynetwork.org/01282025,venezuelasolidaritynetwork.org,3,5,0,member 3,Jill Clark-Gollub; David Paul; Democratic Socialists…; Task Force on the Ame…; Venezuela Solidarity …
https://cindysheehanssoapbox.blogspot.com/2018/02/?m=0,cindysheehanssoapbox.blogspot.com,2,3,0,attended 2,Cindy Sheehan; Dakotah Lilly; Venezuela
https://consortiumnews.com/2024/07/30/venezuela-as-us-leaders-call-fraud-us-observers-endorse-results/,consortiumnews.com,2,4,0,representative 1; predecessor 1,Hugo Chavez; International Peoples…; Nicolás Maduro; Wyatt Souers
