edge_idx,source,target,relation,confidence,slices,domain,url
535,pf,hatuey,fiscal_host,confirmed,hatuey,hatueyproject.org,https://www.hatueyproject.org/
538,pf,rub_national_network_on_cuba,hosted,inferred,rubio-cuba,nnoc.org,https://nnoc.org/member-orgs/
540,prashad,pi,council,inferred,rls-germany,progressive.international,https://progressive.international/members/
541,prashad,rls_nyc,contributor,confirmed,rls-germany,rosalux.nyc,https://rosalux.nyc/?s=Vijay+Prashad
542,prashad,tricontinental,director,confirmed,rls-germany,thetricontinental.org,https://thetricontinental.org/team/
544,prashad,tricontinental,role,confirmed,rubio-cuba,en.wikipedia.org,https://en.wikipedia.org/wiki/Vijay_Prashad
545,press_tv,benjamin,media_appearance,confirmed,iran-network,memri.org,https://www.memri.org/reports/second-international-new-horizon-conference-tehran
546,press_tv,benjamin,phone_contact,confirmed,iran-network,networkcontagion.us,https://networkcontagion.us/reports/the-hidden-switchboard-how-iranian-state-media-and-domestic-networks-drive-influence-operations-on-u-s-soil/
547,psf,jef,grant,confirmed,iran-network,projects.propublica.org,https://projects.propublica.org/nonprofits/organizations/821202926
548,psl,ev_antifa_festival_2025,attended,confirmed,latam-solidarity,x.com,https://x.com/pslnational/status/1877546536365690985
549,psl,ev_vz_election_2024,endorsed,confirmed,latam-solidarity,peoplesforum.org,https://peoplesforum.org/venezuela-elections
550,psl,ev_wfys_2005,attended,confirmed,latam-solidarity,liberationnews.org,https://www.liberationnews.org/05-09-01-psl-delegates-to-caracas-world-y-html
553,psl,ipa,member,confirmed,latam-solidarity,en.wikipedia.org,https://en.wikipedia.org/wiki/International_Peoples%27_Assembly
555,puryear,russia,foreign_tie,inferred,singham-spine,en.wikipedia.org,https://en.wikipedia.org/wiki/Eugene_Puryear
557,reyes,iran,foreign_tie,inferred,singham-spine,linkedin.com,https://www.linkedin.com/in/karla-reyes-810a628/
559,richard_becker,china,foreign_tie,inferred,singham-spine,missionlocal.org,https://missionlocal.org/2019/08/local-socialists-see-the-fog-of-anti-communism-lifting/
560,richard_becker,lariva,spouse,confirmed,hatuey,adl.org,https://www.adl.org/resources/backgrounder/party-socialism-and-liberation-psl
564,rls_nyc,dsa_fund,joint_poll,confirmed,rls-germany,rosalux.nyc,https://rosalux.nyc/new-poll-democratic-socialism-is-now-mainstream/
565,rls_nyc,jacobin,cosponsor,confirmed,rls-germany,rosalux.nyc,https://rosalux.nyc/new-poll-democratic-socialism-is-now-mainstream/
566,rls_nyc,o4p,operates,confirmed,rls-germany,rosalux.de,https://www.rosalux.de/en/o4p
567,rls_nyc,wfp,training,inferred,rls-germany,keywiki.org,https://keywiki.org/Rosa_Luxemburg_Stiftung
568,rls_nyc,ydsa,funds,inferred,rls-germany,keywiki.org,https://keywiki.org/Rosa_Luxemburg_Stiftung
569,ron,tricontinental,role,inferred,rubio-cuba,thetricontinental.org,https://thetricontinental.org/team/
570,rose_benjamin,arc_of_justice,funds,confirmed,iran-network,projects.propublica.org,https://projects.propublica.org/nonprofits/organizations/841618483
571,rub_african_national_congress,rubio_report,cited_context,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
572,rub_al_tajammu,rubio_report,cited_context,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
573,rub_alpha_66,rubio_report,cited_opposition,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
574,rub_amazon_labor_union,rubio_report,cited_context,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
575,rub_amistur_cuba_sa,icap,subsidiary,confirmed,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
576,rub_belly_of_the_beast_llc,rubio_report,cited_context,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
577,rub_black_liberation_army,rubio_report,cited_historical,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
578,rub_black_lives_matter_at_scho,rubio_report,cited_context,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
579,rub_black_lives_matter_grassro,rubio_report,cited_context,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
580,rub_black_panther_party,rubio_report,cited_historical,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
581,rub_british_cuba_solidarity_ca,rubio_report,cited_network,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
582,rub_brothers_to_the_rescue,rubio_report,cited_opposition,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
583,rub_canadian_network_on_cuba,rubio_report,cited_network,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
584,rub_changingfrequencies,rubio_report,cited_context,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
585,rub_communist_party_usa,rub_national_network_on_cuba,member,confirmed,rubio-cuba,nnoc.org,https://nnoc.org/member-orgs/
586,rub_cuban_american_national_fo,rubio_report,cited_opposition,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
587,rub_cuban_interests_section,icap,coordinates_with,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
588,rub_cuban_mission_to_the_un,cuba,state_organ,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
589,rub_democratic_front_for_the_l,rubio_report,cited_designation,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
590,rub_eln,rubio_report,cited_designation,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
591,rub_equality_for_flatbush,rubio_report,cited_context,inferred,rubio-cuba,kenklippenstein.com,https://www.kenklippenstein.com/p/after-political-terrorism-event-us
592,rub_f_4_commandos,rubio_report,cited_opposition,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
593,rub_fair_play_for_cuba_committ,rubio_report,cited_historical,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
594,rub_faln,rubio_report,cited_historical,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
595,rub_george_floyd_riots_antifa,rubio_report,cited_context,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
596,rub_germany_cuba_friendship_as,rubio_report,cited_network,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
597,global_exchange,rub_national_network_on_cuba,member,confirmed,rubio-cuba|_mined,nnoc.org,https://nnoc.org/member-orgs/
598,rub_haitian_women_for_haitian,rubio_report,cited_context,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
599,rub_hamas,rubio_report,cited_designation,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
600,rub_hezbollah,rubio_report,cited_designation,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
601,rub_houthis,rubio_report,cited_designation,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
602,rub_ifco_pastors_for_peace,rub_claudia_jones_school,fiscal_sponsor,inferred,rubio-cuba,claudiajonesschool.org,https://claudiajonesschool.org/
603,rub_ifco_pastors_for_peace,rub_national_network_on_cuba,member,confirmed,rubio-cuba,nnoc.org,https://nnoc.org/member-orgs/
604,rub_ifco_pastors_for_peace,rub_the_jericho_movement,fiscal_sponsor,inferred,rubio-cuba,thejerichomovement.com,https://thejerichomovement.com
605,rub_ifco_pastors_for_peace,rub_venceremos_brigade,fiscal_sponsor,inferred,rubio-cuba,vb4cuba.com,https://vb4cuba.com/
606,rub_international_may_day_brig,icap,interlock,confirmed,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
607,rub_m_19,rubio_report,cited_designation,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
608,rub_macheteros,rubio_report,cited_historical,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
609,rub_may_19th_communist_organiz,rubio_report,cited_historical,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
610,rub_montoneros,rubio_report,cited_historical,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
611,rub_nation_of_islam,rubio_report,cited_context,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
612,rub_national_conference_of_bla,rubio_report,cited_context,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
613,rub_national_network_on_cuba,icap,interlock,confirmed,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
614,rub_national_network_on_cuba,rubio_report,cited_network,confirmed,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
615,rub_olas,rubio_report,cited_context,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
616,rub_p_alicia_garza,rub_black_lives_matter_global,role,inferred,rubio-cuba,en.wikipedia.org,https://en.wikipedia.org/wiki/Alicia_Garza
617,rub_p_angela_davis,rubio_report,cited_context,inferred,rubio-cuba,state.gov,https://www.state.gov/cuba-the-capital-of-21st-century-communism
618,rub_p_antonio_guerrero,rub_the_wasp_network_red_avisp,role,inferred,rubio-cuba,en.wikipedia.org,https://en.wikipedia.org/wiki/Antonio_Guerrero
619,rub_p_asad_rehman,rub_thousand_currents,role,inferred,rubio-cuba,thousandcurrents.org,https://thousandcurrents.org/our-leadership/
620,rub_p_bernardine_dohrn,rub_weather_underground,role,inferred,rubio-cuba,en.wikipedia.org,https://en.wikipedia.org/wiki/Bernardine_Dohrn
621,rub_p_bill_ayers,rub_weather_underground,role,inferred,rubio-cuba,en.wikipedia.org,https://en.wikipedia.org/wiki/Bill_Ayers
622,rub_p_charles_charlie_hill,rub_republic_of_new_afrika,role,inferred,rubio-cuba,cbsnews.com,https://www.cbsnews.com/news/charlie-hill-american-harbored-by-cuba-fears-winds-of-change/
624,rub_p_fernando_gonz_lez_llor,rub_the_wasp_network_red_avisp,role,confirmed,rubio-cuba,en.wikipedia.org,https://en.wikipedia.org/wiki/Fernando_González_Llort
