id,label,primary_slice,x,y,dist_own_centroid,z_within_slice,share_of_6_nearest_in_same_slice,knn_majority_slice
rub_p_gustavo_petro,Gustavo Petro,rubio-cuba,515,-271,576,-0.83,0.17,afgj-interlock
per_cory_jong,Cory Jong,afgj-interlock,-266,445,489,-0.87,0.17,rubio-cuba
p_centro_de_derechos_humanos_del_pac_fic,Centro de Derechos Humanos del Pacífico (Centro Pazífico),afgj-projects,-598,-91,623,-0.88,0.17,rubio-cuba
khalek,Rania Abdul Khalek,singham-spine,-21,-225,417,-0.91,0.17,afgj-interlock
rub_p_robert_f_williams,Robert F. Williams,rubio-cuba,664,-155,527,-0.91,0.17,afgj-interlock
hoyt,Katherine Hoyt,latam-solidarity,129,-196,699,-0.94,0.17,singham-spine
jordan,James Patrick Jordan,latam-solidarity,44,-165,683,-0.98,0.17,rubio-cuba
puryear,Eugene Puryear,singham-spine,185,-132,370,-1.04,0.17,latam-solidarity
per_sunny_levine,Sunny Levine,afgj-interlock,276,421,426,-1.05,0.17,rubio-cuba
valente,Mónica Valente,latam-solidarity,277,-139,641,-1.08,0.17,afgj-interlock
jonathan_raggett,Jonathan 'Jonny' Raggett,iran-network,864,-632,580,-1.08,0.17,afgj-interlock
podemos,Podemos,rls-germany,-774,-48,549,-1.1,0.17,afgj-interlock
c3misc,Affiliated 501(c)(3),singham-spine,-43,-142,336,-1.13,0.17,afgj-interlock
p_lancaster_bail_fund,Lancaster Bail Fund,afgj-projects,341,-578,553,-1.14,0.17,afgj-interlock
per_diane_limas,Diane Limas,afgj-interlock,-286,283,394,-1.15,0.17,rubio-cuba
rub_p_bernardine_dohrn,Bernardine Dohrn,rubio-cuba,178,-3,354,-1.18,0.17,afgj-interlock
harris,Roger D. Harris,latam-solidarity,331,-76,588,-1.22,0.17,rubio-cuba
ydsa,Young DSA (YDSA),rls-germany,-702,-117,456,-1.3,0.17,afgj-projects
rub_palestine_liberation_organ,Palestine Liberation Organization,rubio-cuba,600,122,277,-1.3,0.17,afgj-interlock
rub_fair_play_for_cuba_committ,Fair Play for Cuba Committee,rubio-cuba,259,45,271,-1.31,0.17,afgj-interlock
per_nate_kleinman,Nate Kleinman,afgj-interlock,298,261,322,-1.35,0.17,latam-solidarity
p_philly_thrive,Philly Thrive,afgj-projects,-342,194,485,-1.39,0.17,rubio-cuba
ips,Institute for Policy Studies,rls-germany,-247,118,401,-1.41,0.17,rubio-cuba
leila_zand,Leila Zand,iran-network,-23,-522,432,-1.41,0.17,singham-spine
per_lourdes_escalante,Lourdes Escalante,afgj-interlock,330,96,290,-1.45,0.17,latam-solidarity
uspc,US Peace Council,latam-solidarity,-49,895,471,-1.51,0.17,rubio-cuba
rub_faln,FALN,rubio-cuba,480,191,141,-1.52,0.17,latam-solidarity
prashad,Vijay Prashad,rls-germany,-195,46,338,-1.55,0.17,latam-solidarity
estrada,Paola Estrada,latam-solidarity,-89,816,433,-1.61,0.17,afgj-interlock
ccr,Center for Constitutional Rights,iran-network,65,-469,330,-1.65,0.17,singham-spine
burke,Tom Burke,latam-solidarity,407,140,411,-1.67,0.17,afgj-interlock
singham_shanti,Shanti Singham,singham-spine,-117,243,132,-1.68,0.17,rubio-cuba
per_cindy_sheehan,Cindy Sheehan,afgj-interlock,-82,-63,178,-1.77,0.17,singham-spine
nunez,Marlon Matthew Nunez,latam-solidarity,251,140,361,-1.79,0.17,afgj-interlock
hrizi,Nathalie Patricia Hrizi,singham-spine,-55,180,60,-1.88,0.17,afgj-interlock
rls_nyc,Rosa Luxemburg Stiftung Inc (RLS-NYC),rls-germany,-243,-119,167,-1.91,0.17,afgj-interlock
earle,Ethan Earle,rls-germany,-188,-205,118,-2.01,0.17,afgj-interlock
hub_ifnotnow,IfNotNow,afgj-interlock,-50,94,96,-2.01,0.17,singham-spine
hub_women_s_march,Women’s March,afgj-interlock,99,46,60,-2.12,0.17,rubio-cuba
p_otros_mundos_a_c,Otros Mundos A.C.,afgj-projects,-934,660,1238,1.44,0.33,afgj-interlock
p_black_movement_law_project,Black Movement Law Project,afgj-interlock,-407,-1109,1257,1.36,0.33,afgj-interlock
p_friends_of_asociaci_n_de_trabajadores_,Friends of Asociación de Trabajadores Campesinos,afgj-interlock,-231,-1149,1244,1.32,0.33,afgj-projects
p_world_can_t_wait,World Can’t Wait,afgj-interlock,-1118,-350,1232,1.29,0.33,afgj-projects
p_international_people_s_tribunal,International People’s Tribunal,afgj-projects,1180,107,1179,1.21,0.33,afgj-interlock
p_arizona_palestine_solidarity_alliance,Arizona Palestine Solidarity Alliance,afgj-interlock,-1115,396,1203,1.2,0.33,singham-spine
seal,ICAP 65th-Anniversary Seal,hatuey,1819,1581,1842,1.2,0.33,rubio-cuba
p_african_awareness_association,African Awareness Association,afgj-projects,-786,713,1165,1.16,0.33,afgj-projects
p_suriname_indigenous_health_fund,Suriname Indigenous Health Fund,afgj-projects,904,617,1151,1.11,0.33,afgj-projects
p_poor_people_s_economic_human_rights_ca,Poor People’s Economic Human Rights Campaign,afgj-interlock,198,-1088,1164,1.09,0.33,latam-solidarity
p_chicago_housing_justice_league,Chicago Housing Justice League,afgj-interlock,-1013,473,1131,0.99,0.33,singham-spine
p_eritye_papa_desalin,Eritye Papa Desalin,afgj-projects,1090,199,1115,0.97,0.33,afgj-interlock
rub_palestinian_islamic_jihad,Palestinian Islamic Jihad,rubio-cuba,1704,-803,1717,0.97,0.33,iran-network
per_devin_michael_lowe,Devin Michael Lowe,afgj-interlock,-850,-609,1118,0.95,0.33,afgj-projects
p_youth_vs_apocalypse,Youth Vs Apocalypse,afgj-interlock,1145,-85,1113,0.94,0.33,afgj-interlock
p_o_odham_anti_border_collective,O’odham Anti Border Collective,afgj-projects,1110,-323,1104,0.93,0.33,afgj-projects
rub_houthis,Houthis,rubio-cuba,1614,-845,1676,0.9,0.33,iran-network
p_mosaic_black_trans_funding_network,Mosaic Black Trans Funding Network,afgj-projects,286,-1181,1088,0.87,0.33,afgj-projects
p_the_l_i_c_project,The L.I.C. Project,afgj-projects,713,-949,1074,0.82,0.33,afgj-projects
p_upland_grassroots,Upland Grassroots,afgj-projects,906,487,1074,0.82,0.33,afgj-projects
p_arizona_educators_united,Arizona Educators United,afgj-projects,1083,-198,1062,0.77,0.33,afgj-projects
ipa,International Peoples' Assembly,latam-solidarity,879,1677,1357,0.73,0.33,afgj-interlock
hub_occupy_wall_street,Occupy Wall Street,afgj-interlock,1025,287,1008,0.63,0.33,afgj-projects
per_aquib_s_yacoob,Aquib S. Yacoob,afgj-interlock,895,-454,999,0.61,0.33,afgj-interlock
per_mavis_jay_sanders,Mavis-Jay Sanders,afgj-interlock,165,1031,974,0.54,0.33,afgj-interlock
p_march_4_racial_justice_ny,March 4 Racial Justice NY,afgj-projects,993,116,999,0.54,0.33,afgj-interlock
p_black_trans_travel_fund,Black Trans Travel Fund,afgj-interlock,786,667,957,0.49,0.33,afgj-projects
p_juthour_arboretum,Juthour Arboretum,afgj-projects,586,-932,983,0.48,0.33,afgj-interlock
krouth,Kristine Teresa Krouth,singham-spine,-560,923,924,0.46,0.33,singham-spine
p_people_helping_people,People Helping People,afgj-projects,712,-820,978,0.46,0.33,afgj-projects
per_kristen_godfrey,Kristen Godfrey,afgj-interlock,-893,15,936,0.43,0.33,afgj-interlock
per_moira_meltzer_cohen,Moira Meltzer-Cohen,afgj-interlock,965,222,936,0.43,0.33,afgj-projects
ensler,Eve Ensler,singham-spine,-461,957,896,0.39,0.33,singham-spine
russia,Russia,singham-spine,729,-330,893,0.38,0.33,singham-spine
irgens_moller,Kirsten Irgens-Moller,iran-network,-653,-974,1204,0.35,0.33,afgj-projects
p_friends_of_gente_de_i_itoi_a_c,"Friends of Gente de I’itoi, A.C.",afgj-projects,956,-197,935,0.3,0.33,afgj-projects
p_peace_education,Peace Education,afgj-projects,-678,-745,936,0.3,0.33,rubio-cuba
per_cheri_honkala,Cheri Honkala,afgj-interlock,158,941,884,0.27,0.33,afgj-interlock
kleiner,Franziska Kleiner,singham-spine,-486,872,839,0.23,0.33,singham-spine
per_meghan_maurus,Meghan Maurus,afgj-interlock,-692,-359,848,0.17,0.33,afgj-interlock
p_popular_resistance,Popular Resistance,afgj-interlock,-443,-626,844,0.16,0.33,hatuey
per_rick_jahnkow,Rick Jahnkow,afgj-interlock,854,-158,842,0.15,0.33,afgj-interlock
p_hands_up_united,Hands Up United,afgj-interlock,488,775,838,0.14,0.33,singham-spine
per_makayla_heiser,Makayla Heiser,afgj-interlock,-47,-760,830,0.12,0.33,afgj-projects
p_black_and_pink_ma,Black and Pink MA,afgj-interlock,350,819,814,0.07,0.33,afgj-interlock
reyes,Karla Reyes,singham-spine,-741,40,760,0.02,0.33,singham-spine
per_nathan_sheard,Nathan Sheard,afgj-interlock,227,810,768,-0.06,0.33,afgj-projects
hub_lawyers_better_housing,Lawyers’ Committee for Better Housing,afgj-interlock,561,621,761,-0.08,0.33,singham-spine
conway,Marshall Eddie Conway,singham-spine,-665,88,677,-0.21,0.33,singham-spine
per_rachel_wilson,Rachel Wilson,afgj-interlock,115,-645,714,-0.22,0.33,singham-spine
rub_p_george_galloway,George Galloway,rubio-cuba,-575,317,954,-0.24,0.33,afgj-interlock
per_t_sheri_dickerson,T. Sheri Dickerson,afgj-interlock,-650,175,701,-0.26,0.33,afgj-interlock
hamby,Ryan Hamby,singham-spine,-617,23,644,-0.3,0.33,afgj-projects
rub_p_bill_ayers,Bill Ayers,rubio-cuba,-314,-288,901,-0.32,0.33,afgj-interlock
rub_cuban_american_national_fo,Cuban American National Foundation,rubio-cuba,-499,411,886,-0.34,0.33,rubio-cuba
kramer,Marian Kramer,singham-spine,487,574,616,-0.37,0.33,singham-spine
rub_george_floyd_riots_antifa,George Floyd riots / Antifa / campus activism,rubio-cuba,-402,662,865,-0.38,0.33,rubio-cuba
rub_p_kathy_boudin,Kathy Boudin,rubio-cuba,-429,593,863,-0.38,0.33,rubio-cuba
rub_p_onyesonwu_chatoyer,Onyesonwu Chatoyer,rubio-cuba,-485,322,864,-0.38,0.33,rubio-cuba
hub_women_in_black,Women in Black,afgj-interlock,679,159,644,-0.42,0.33,afgj-interlock
rub_p_rev_lucius_walker,Rev. Lucius Walker,rubio-cuba,-223,-286,832,-0.43,0.33,afgj-interlock
per_margaret_flowers,Margaret Flowers,afgj-interlock,-576,227,639,-0.44,0.33,rubio-cuba
per_cornel_west,Cornel West,afgj-interlock,-191,-521,631,-0.46,0.33,singham-spine
per_michael_cox,Michael Cox,afgj-interlock,669,66,627,-0.47,0.33,rubio-cuba
per_khafre_jay,Khafre Jay,afgj-interlock,242,648,616,-0.5,0.33,afgj-interlock
rub_communist_party_usa,Communist Party USA,rubio-cuba,-356,541,777,-0.52,0.33,rubio-cuba
belen,Matthew Matt Belen,singham-spine,472,445,532,-0.6,0.33,singham-spine
santos,Lucas Tinti dos Santos,singham-spine,419,517,528,-0.61,0.33,singham-spine
p_hampshire_college_legal_support_fund,Hampshire College Legal Support Fund,afgj-projects,-154,-795,693,-0.61,0.33,afgj-projects
per_maurice_cook,Maurice Cook,afgj-interlock,-213,-437,563,-0.66,0.33,afgj-interlock
per_lourdez,Lourdez,afgj-interlock,502,-182,522,-0.77,0.33,afgj-interlock
alvin_benjamin,Alvin Benjamin (1920-2012),iran-network,955,-719,703,-0.8,0.33,iran-network
rub_may_19th_communist_organiz,May 19th Communist Organization,rubio-cuba,-196,285,575,-0.83,0.33,afgj-interlock
p_411_collective,411 Collective,afgj-projects,-560,115,631,-0.85,0.33,afgj-interlock
rub_p_angela_davis,Angela Davis,rubio-cuba,588,-220,550,-0.87,0.33,rubio-cuba
per_trayce_peterson,Trayce Peterson,afgj-interlock,345,-299,474,-0.92,0.33,afgj-interlock
per_allen_kwabena_frimpong,Allen Kwabena Frimpong,afgj-interlock,478,2,441,-1.01,0.33,afgj-interlock
per_debra_sweet,Debra Sweet,afgj-interlock,-81,-350,433,-1.03,0.33,afgj-interlock
per_melissa_barber_md,"Melissa Barber, MD",afgj-interlock,-215,371,400,-1.13,0.33,rubio-cuba
per_page_may,Page May,afgj-interlock,306,-221,389,-1.16,0.33,afgj-interlock
per_mohyeddin_abdulaziz,Mohyeddin Abdulaziz,afgj-interlock,0,-316,383,-1.18,0.33,afgj-interlock
per_pat_alviso,Pat Alviso,afgj-interlock,-132,-277,384,-1.18,0.33,afgj-interlock
lariva,Gloria La Riva,afgj-interlock,407,51,365,-1.23,0.33,afgj-interlock
p_black_lives_matter_tucson,Black Lives Matter Tucson,afgj-projects,405,-382,460,-1.49,0.33,afgj-interlock
hub_military_families_speak_out,Military Families Speak Out,afgj-interlock,-142,-129,267,-1.51,0.33,afgj-interlock
per_kevin_zeese,Kevin Zeese,afgj-interlock,218,224,237,-1.6,0.33,afgj-interlock
kaufman,Chuck Kaufman,latam-solidarity,331,182,340,-1.85,0.33,afgj-interlock
rub_the_wasp_network_red_avisp,The Wasp Network / Red Avispa,rubio-cuba,1965,1781,2178,1.69,0.5,rubio-cuba
rub_p_fernando_gonz_lez_llor,Fernando González Llort,rubio-cuba,1985,1581,2062,1.51,0.5,rubio-cuba
p_interoccupy,InterOccupy,afgj-interlock,-1059,-588,1280,1.43,0.5,afgj-interlock
rub_eln,ELN,rubio-cuba,1890,1495,1934,1.31,0.5,rubio-cuba
new_horizon,New Horizon Organization,iran-network,1759,-875,1494,1.01,0.5,rubio-cuba
iran,Islamic Republic of Iran (state),iran-network,1790,-734,1478,0.97,0.5,rubio-cuba
per_tara_thompson,Tara Thompson,afgj-interlock,12,-1041,1106,0.92,0.5,afgj-interlock
p_movement_net_lab,Movement Net Lab,afgj-interlock,116,-989,1057,0.78,0.5,latam-solidarity
irgc,Islamic Revolutionary Guard Corps (IRGC),iran-network,1696,-714,1382,0.76,0.5,rubio-cuba
p_creating_a_more_beloved_community_film,Creating a More Beloved Community Film & Discussion Series,afgj-projects,437,-1074,1035,0.67,0.5,afgj-projects
p_los_angeles_community_action_network,Los Angeles Community Action Network,afgj-interlock,305,1034,1004,0.62,0.5,afgj-interlock
hub_leni_villag_mez_reeves,Leni Villagómez Reeves,afgj-interlock,488,953,994,0.59,0.5,afgj-interlock
per_steve_lalla,Steve Lalla,afgj-interlock,71,-882,947,0.46,0.5,afgj-interlock
hub_movement_netlab,Movement NetLab,afgj-interlock,-756,-419,933,0.42,0.5,afgj-interlock
per_taureen_tory_russell,"Taureen ""Tory"" Russell",afgj-interlock,371,926,922,0.39,0.5,afgj-interlock
per_david_foecke,David Foecke,afgj-interlock,922,304,912,0.36,0.5,afgj-interlock
chak,Tings Chak,singham-spine,642,-390,863,0.3,0.5,singham-spine
per_alyssa_rubin,Alyssa Rubin,afgj-interlock,-758,347,848,0.17,0.5,afgj-interlock
hub_dream_defenders,Dream Defenders,afgj-interlock,-714,428,839,0.14,0.5,afgj-interlock
hub_will_kohr,Will Kohr,afgj-interlock,646,596,804,0.04,0.5,afgj-interlock
per_michael_novick,Michael Novick,afgj-interlock,-496,-529,801,0.04,0.5,afgj-interlock
hub_occupy_sandy,Occupy Sandy,afgj-interlock,684,496,773,-0.05,0.5,afgj-interlock
p_alianza_ind_gena_sin_fronteras_indigen,Alianza Indígena Sin Fronteras / Indigenous Alliance Without Borders,afgj-interlock,-604,433,743,-0.13,0.5,afgj-interlock
p_change_links_newspaper,Change-Links Newspaper,afgj-interlock,770,-92,745,-0.13,0.5,afgj-interlock
rub_black_lives_matter_grassro,Black Lives Matter Grassroots,rubio-cuba,-490,-255,1024,-0.13,0.5,rubio-cuba
rub_equality_for_flatbush,Equality for Flatbush,rubio-cuba,-526,-170,1014,-0.14,0.5,rubio-cuba
p_nappy_roots_books,Nappy Roots Books,afgj-interlock,732,249,714,-0.22,0.5,afgj-interlock
rubio_report,Rubio Cuba Report (State Dept.),rubio-cuba,-402,-269,959,-0.23,0.5,rubio-cuba
rub_nation_of_islam,Nation of Islam,rubio-cuba,-437,-181,941,-0.26,0.5,rubio-cuba
per_mirely_baca,Mirely Baca,afgj-interlock,-79,665,612,-0.51,0.5,rls-germany
p_real_food_generation,Real Food Generation,afgj-interlock,99,613,551,-0.69,0.5,afgj-interlock
p_national_network_opposing_the_militari,National Network Opposing the Militarization of Youth,afgj-interlock,-120,564,525,-0.77,0.5,afgj-interlock
per_t_loving,T Loving,afgj-interlock,479,-99,467,-0.94,0.5,afgj-interlock
p_free_mumia_abu_jamal_coalition,Free Mumia Abu-Jamal Coalition,afgj-projects,-468,216,598,-0.97,0.5,afgj-projects
p_cindy_sheehan_s_soapbox,Cindy Sheehan’s Soapbox,afgj-interlock,395,-167,422,-1.06,0.5,afgj-interlock
p_return_solidarity,Return Solidarity,afgj-projects,444,-499,563,-1.1,0.5,afgj-projects
p_solidarity_ignite,Solidarity Ignite,afgj-projects,-519,0,557,-1.12,0.5,afgj-projects
per_vik_velazquez_morales,Vikó Velazquez Morales,afgj-interlock,158,426,379,-1.19,0.5,afgj-interlock
per_bella_de_soto,Bella De Soto,afgj-interlock,-101,-197,299,-1.42,0.5,afgj-interlock
viq,"Rachel Viqueira, MHS",afgj-interlock,21,337,273,-1.5,0.5,afgj-interlock
per_frank_avellone,Frank Avellone,afgj-interlock,-34,269,218,-1.66,0.5,afgj-interlock
p_instituto_agroecol_gico_latinoamerican,Instituto Agroecológico Latinoamericano–Mesoamericana (IALA Mesoamerica),afgj-interlock,126,175,138,-1.89,0.5,afgj-interlock
rub_tupamaros,Tupamaros,rubio-cuba,1895,2009,2294,1.87,0.67,rubio-cuba
rub_amistur_cuba_sa,Amistur Cuba SA,rubio-cuba,2050,1811,2261,1.82,0.67,rubio-cuba
rub_p_ram_n_laba_ino,Ramón Labañino,rubio-cuba,1894,1898,2211,1.74,0.67,rubio-cuba
rub_cuban_mission_to_the_un,Cuban Mission to the UN,rubio-cuba,1787,1925,2159,1.66,0.67,rubio-cuba
rub_radio_habana,Radio Habana,rubio-cuba,2083,1586,2142,1.64,0.67,rubio-cuba
rub_p_antonio_guerrero,Antonio Guerrero,rubio-cuba,1781,1757,2031,1.46,0.67,rubio-cuba
fars_news,Fars News Agency,iran-network,1907,-931,1652,1.37,0.67,iran-network
rub_p_charles_charlie_hill,Charles 'Charlie' Hill,rubio-cuba,1658,1755,1946,1.33,0.67,rubio-cuba
ev_maduro_inaug_2025,Maduro 3rd Inauguration (Jan 10 2025),latam-solidarity,978,1839,1547,1.21,0.67,latam-solidarity
press_tv,Press TV,iran-network,1861,-853,1582,1.21,0.67,iran-network
zarif,Mohammad Javad Zarif,iran-network,1902,-648,1567,1.18,0.67,iran-network
iranian_red_crescent,Iranian Red Crescent Society,iran-network,1882,-540,1529,1.09,0.67,iran-network
maduro,Nicolás Maduro,latam-solidarity,858,1799,1455,0.97,0.67,latam-solidarity
iran_foreign_ministry,Iranian Ministry of Foreign Affairs,iran-network,1751,-557,1402,0.8,0.67,iran-network
hub_dead_prez,Dead Prez,afgj-interlock,673,874,1026,0.69,0.67,afgj-interlock
p_queer_food_foundation,Queer Food Foundation,afgj-interlock,733,784,997,0.6,0.67,afgj-interlock
p_south_bronx_unite,South Bronx Unite,afgj-interlock,565,876,965,0.51,0.67,afgj-interlock
per_pablo_benson_silva,Pablo Benson-Silva,afgj-interlock,-715,-499,944,0.45,0.67,afgj-interlock
atc,ATC — Asociación de Trabajadores del Campo,latam-solidarity,43,1734,1246,0.45,0.67,latam-solidarity
ortega,Daniel Ortega,latam-solidarity,-109,1699,1241,0.43,0.67,latam-solidarity
ev_ipa_founding_2019,IPA Founding Assembly (Caracas Feb 2019),latam-solidarity,760,1604,1237,0.42,0.67,latam-solidarity
per_monxo_lopez,Monxo Lopez,afgj-interlock,-650,-559,932,0.41,0.67,afgj-interlock
per_gabrielle_lenart,Gabrielle Lenart,afgj-interlock,-563,-588,890,0.29,0.67,afgj-interlock
hub_opposed_to_militarism_draft,Committee Opposed to Militarism & the Draft,afgj-interlock,120,-801,870,0.23,0.67,afgj-interlock
hub_revolutionary_communist_party_usa,"Revolutionary Communist Party, USA",afgj-interlock,32,-801,866,0.22,0.67,afgj-interlock
ev_nica_election_2021,Nicaragua General Election (Nov 2021),latam-solidarity,-181,1584,1152,0.21,0.67,latam-solidarity
fsln,FSLN — Sandinista National Liberation Front,latam-solidarity,-14,1608,1131,0.15,0.67,latam-solidarity
p_justice_for_all_coalition,Justice for All Coalition,afgj-interlock,781,447,832,0.12,0.67,afgj-interlock
per_johnnie_jae,Johnnie Jae,afgj-interlock,806,328,808,0.06,0.67,afgj-interlock
per_abraham_hassen,Abraham Hassen,afgj-interlock,177,-711,788,-0.0,0.67,afgj-interlock
ev_nica_delegation_2021,AFGJ Intl Delegation to Nicaragua (Jul 2021),latam-solidarity,-57,1524,1059,-0.03,0.67,latam-solidarity
per_carl_dix,Carl Dix,afgj-interlock,-669,351,766,-0.07,0.67,afgj-interlock
per_dakotah_lilly,Dakotah Lilly,afgj-interlock,-660,264,730,-0.17,0.67,afgj-interlock
per_elaine_brower,Elaine Brower,afgj-interlock,654,414,705,-0.25,0.67,afgj-interlock
hub_andira_alves,Andira Alves,afgj-interlock,135,510,455,-0.97,0.67,afgj-interlock
per_andrea_ciannavei,Andrea Ciannavei,afgj-interlock,-31,505,446,-1.0,0.67,afgj-interlock
hub_green_party,Green Party,afgj-interlock,66,429,365,-1.23,0.67,afgj-interlock
p_asotrecol,ASOTRECOL,afgj-projects,-436,97,511,-1.3,0.67,afgj-projects
hub_mott_haven_port_morris_community_land_st,Mott Haven-Port Morris Community Land Stewards,afgj-interlock,80,270,208,-1.68,0.67,afgj-interlock
per_samantha_butler,Samantha Butler,afgj-interlock,25,202,138,-1.89,0.67,afgj-interlock
rub_montoneros,Montoneros,rubio-cuba,2108,1897,2362,1.98,0.83,rubio-cuba
rub_cuban_interests_section,Cuban Interests Section,rubio-cuba,2124,1727,2262,1.82,0.83,rubio-cuba
hbs,Heinrich Boell Foundation (HBS),rls-germany,-1279,-1903,1906,1.78,0.83,rls-germany
rub_p_gerardo_hern_ndez,Gerardo Hernández,rubio-cuba,2049,1677,2172,1.68,0.83,rubio-cuba
rls_berlin,Rosa-Luxemburg-Stiftung e.V. (Berlin),rls-germany,-1149,-1889,1828,1.61,0.83,rls-germany
rub_m_19,M-19,rubio-cuba,1735,1834,2056,1.5,0.83,rubio-cuba
fes,Friedrich Ebert Stiftung Inc (FES),rls-germany,-1030,-1834,1725,1.39,0.83,rls-germany
hispantv,HispanTV,iran-network,1971,-736,1654,1.38,0.83,iran-network
albamov,ALBA Movimientos,latam-solidarity,893,1945,1602,1.35,0.83,latam-solidarity
ev_vz_election_2024,Venezuela Presidential Election (Jul 28 2024),latam-solidarity,777,1838,1456,0.98,0.83,latam-solidarity
ev_wfys_2005,16th World Festival of Youth & Students (Caracas 2005),latam-solidarity,651,1843,1416,0.88,0.83,latam-solidarity
ev_antifa_festival_2025,International Anti-Fascist Festival (Caracas Jan 9-11 2025),latam-solidarity,716,1772,1372,0.76,0.83,latam-solidarity
ev_caracas_antifa_2024,Antifascist Congress of Caracas (Nov 28 2024),latam-solidarity,668,1695,1283,0.54,0.83,latam-solidarity
hub_talib_kweli,Talib Kweli,afgj-interlock,624,784,925,0.39,0.83,afgj-interlock
per_tef_poe,Tef Poe,afgj-interlock,660,685,875,0.25,0.83,afgj-interlock
per_dr_patrisia_gonzales,Dr. Patrisia Gonzales,afgj-interlock,-649,-437,854,0.19,0.83,afgj-interlock
per_vee_morris_moore,Vee Morris Moore,afgj-interlock,-584,-499,843,0.16,0.83,afgj-interlock
per_evana,Evana,afgj-interlock,73,-724,790,0.0,0.83,afgj-interlock
marsh,"Nadia Marsh, MD",afgj-interlock,721,356,739,-0.15,0.83,afgj-interlock
ma,"Simon Ma, MD, MPH",afgj-interlock,-5,588,525,-0.77,0.83,afgj-interlock
per_mark_swartz,Mark Swartz,afgj-interlock,53,517,452,-0.98,0.83,afgj-interlock
enkelmann,Dagmar Enkelmann,rls-germany,-1336,-1834,1879,1.72,1.0,rls-germany
kas,Konrad Adenauer Stiftung Inc (KAS),rls-germany,-1351,-1719,1794,1.54,1.0,rls-germany
die_linke,Die Linke,rls-germany,-1261,-1727,1748,1.44,1.0,rls-germany
german_gov,German Federal Government,rls-germany,-1178,-1762,1733,1.41,1.0,rls-germany
dagdelen,Sevim Dagdelen,rls-germany,-1094,-1730,1663,1.26,1.0,rls-germany
fns,Friedrich Naumann Foundation (FNS),rls-germany,-1240,-1614,1644,1.22,1.0,rls-germany
hss,Hanns Seidel Foundation USA (HSS),rls-germany,-1004,-1737,1626,1.19,1.0,rls-germany
ev_fsp_caracas_2019,25th Foro de São Paulo (Caracas 2019),latam-solidarity,776,1928,1539,1.19,1.0,latam-solidarity
trochowski,Daniela Trochowski,rls-germany,-1140,-1653,1620,1.17,1.0,rls-germany
