id,label,kind,n_slices,slices,unique_neighbors,betweenness
p_corporate_genome_project,Corporate Genome Project,project,2,afgj-interlock|afgj-projects,2,250.5
p_friends_of_asociaci_n_de_trabajadores_,Friends of Asociación de Trabajadores Campesinos,project,2,afgj-interlock|afgj-projects,2,246.5
p_instituto_agroecol_gico_latinoamerican,Instituto Agroecológico Latinoamericano–Mesoamericana (IALA Mesoamerica),project,2,afgj-interlock|afgj-projects,2,502.0
p_justice_for_all_coalition,Justice for All Coalition,project,2,afgj-interlock|afgj-projects,2,502.0
p_los_angeles_community_action_network,Los Angeles Community Action Network,project,2,afgj-interlock|afgj-projects,2,502.0
p_nappy_roots_books,Nappy Roots Books,project,2,afgj-interlock|afgj-projects,2,0.0
p_never_again_action,Never Again Action,project,2,afgj-interlock|afgj-projects,2,555.9
p_real_food_generation,Real Food Generation,project,2,afgj-interlock|afgj-projects,2,250.5
p_splitseed_productions,SplitSeed Productions,project,2,afgj-interlock|afgj-projects,2,241.9
p_sustainable_orphanages_for_haitian_you,Sustainable Orphanages for Haitian Youth,project,2,afgj-interlock|afgj-projects,2,283.7
p_thompson_house_tucson,Thompson House Tucson,project,2,afgj-interlock|afgj-projects,2,502.0
p_united_students_against_sweatshops,United Students Against Sweatshops,project,2,afgj-interlock|afgj-projects,2,114.4
p_werk_for_peace,WERK for Peace,project,2,afgj-interlock|afgj-projects,2,660.4
yee,Amanda Yee,person,2,hatuey|singham-spine,2,0.0
